id;name;cap
43;IceDancing;Displaying the beauty and grace of ice dancing, with a focus on partner work, footwork, and lifts performed on ice.
44;JavelinThrow;Highlighting the strength and technique required for javelin throwing, with a focus on the run-up, release, and trajectory of the javelin for maximum distance.
45;JugglingBalls;Demonstrating the skill and coordination required for juggling balls, with a focus on different types of throws and catches, and progressions for mastering the art of juggling.
46;JumpingJack;Showing the simplicity and effectiveness of jumping jacks as a full body workout, with a focus on proper form, variations, and benefits for cardiovascular health.
47;JumpRope;Demonstrating the fun and fitness benefits of jumping rope, with a focus on different types of jumps, routines, and challenges for improving coordination and endurance.
48;Kayaking;Highlighting the adventure and skill of kayaking, with a focus on different types of kayaks, techniques for paddling, and exploring rivers, lakes, and oceans.
49;Knitting;Demonstrating the art and creativity of knitting, with a focus on different types of stitches, patterns, and techniques for making clothing, accessories, and home decor.
50;LongJump;Showcasing the speed and power required for long jump, with a focus on the approach, take-off, and landing for maximum distance.
51;Lunges;Demonstrating the technique and benefits of lunges for building lower body strength and stability, with a focus on proper form, variations, and progressions.
52;MilitaryParade;Featuring the discipline and precision of military parade, with a focus on different types of formations, drills, and ceremonies performed by military personnel.
53;Mixing;Demonstrating the art and science of mixing music, with a focus on different types of equipment, techniques, and styles for creating seamless transitions and dynamic playlists.
54;MoppingFloor;Demonstrating the proper technique and tools for mopping floors, with a focus on different types of floors and cleaning solutions for a clean and safe environment.
55;Nunchucks;Displaying the skill and agility required for nunchucks, with a focus on different types of strikes, combinations, and techniques for martial arts and entertainment.
56;ParallelBars;Highlighting the strength and control required for parallel bars gymnastics, with a focus on different types of swings, handstands, and transitional elements.
57;PizzaTossing;Featuring the art and fun of pizza tossing, with a focus on different types of throws, spins, and tricks for creating the perfect pizza crust.
58;PlayingCello;Demonstrating the beauty and versatility of the cello, with a focus on different types of music, techniques, and performance styles for this classical instrument.
59;PlayingDaf;Showcasing the rhythm and energy of playing the Daf, with a focus on different types of beats, techniques, and styles for this traditional Persian instrument.
60;PlayingDhol;Highlighting the excitement and power of playing the Dhol, with a focus on different types of rhythms, techniques, and styles for this Punjabi drum.
61;PlayingFlute;Demonstrating the beauty and versatility of the flute, with a focus on different types of music, techniques, and performance styles for this classical instrument.
62;PlayingGuitar;Showing the creativity and expression of playing the guitar, with a focus on different types of music, chords, and techniques for acoustic and electric guitar.
63;PlayingPiano;Highlighting the elegance and complexity of playing the piano, with a focus on different types of music, keys, and techniques for this classical instrument.
64;PlayingSitar;Featuring the intricate and mesmerizing sounds of the Sitar, with a focus on different types of ragas, techniques, and performance styles for this traditional Indian instrument.
65;PlayingTabla;Showing the rhythm and energy of playing the Tabla, with a focus on different types of beats, techniques, and styles for this traditional Indian percussion instrument.
66;PlayingViolin;Demonstrating the passion and emotion of playing the violin, with a focus on different types of music, techniques, and performance styles for this classical instrument.
67;PoleVault;Highlighting the speed, strength, and technique required for pole vaulting, with a focus on the approach, take-off, and clearance over the bar for maximum height.
68;PommelHorse;Displaying the strength and agility required for pommel horse gymnastics, with a focus on different types of circles, flairs, and handstands on this challenging apparatus.
69;PullUps;Demonstrating the strength and endurance required for pull-ups, with a focus on proper form, variations, and progressions for building upper body strength and stability.
70;Punch;Highlighting the power and technique of punching, with a focus on different types of punches, combinations, and training drills for martial arts and self-defense.
71;PushUps;Demonstrating the versatility and effectiveness of push-ups as a full body workout, with a focus on proper form, variations, and benefits for strengthening the chest, arms, and core.
72;Rafting;Featuring the excitement and adventure of rafting, with a focus on different types of rapids, techniques for paddling, and exploring rivers and canyons.
73;RockClimbingIndoor;Showing the skill and determination required for indoor rock climbing, with a focus on different types of holds, techniques for climbing, and training exercises for building strength and endurance.
74;RopeClimbing;Highlighting the strength and endurance required for rope climbing, with a focus on proper technique, variations, and progressions for building upper body strength and stability.
75;Rowing;Demonstrating the teamwork and endurance required for rowing, with a focus on different types of boats, techniques for rowing, and racing strategies for competitive rowing.
76;SalsaSpin;Featuring the rhythm and passion of salsa dancing, with a focus on different types of spins, techniques, and partner work for this popular Latin dance style.
77;ShavingBeard;Demonstrating the proper technique and tools for shaving the beard, with a focus on different types of razors, shaving creams, and techniques for a clean and smooth shave.
78;Shotput;Highlighting the power and technique required for shot put, with a focus on the approach, release, and trajectory of the shot for maximum distance.
79;SkateBoarding;Showing the creativity and adrenaline rush of skateboarding, with a focus on different types of tricks, styles, and competitions for this action sport.
80;Skiing;Featuring the excitement and skill of skiing, with a focus on different types of slopes, techniques for turning, and racing strategies for competitive skiing.
81;Skijet;Highlighting the speed and thrill of Skijet, with a focus on different types of maneuvers, techniques for turning, and safety considerations for this water sport.
82;SkyDiving;Featuring the adrenaline rush and freedom of skydiving, with a focus on different types of jumps, techniques for landing, and safety procedures for this extreme sport.
83;SoccerJuggling;Demonstrating the skill and control required for soccer juggling, with a focus on different types of kicks, tricks, and progressions for mastering this popular sport.
84;SoccerPenalty;Featuring the tension and excitement of a penalty kick in soccer, with a focus on different types of shots and techniques for scoring under pressure.
85;StillRings;Displaying the strength and control required for still rings gymnastics, with a focus on different types of swings, strength holds, and transitional elements on this challenging apparatus.
86;SumoWrestling;Highlighting the power and technique of sumo wrestling, with a focus on different types of throws, grips, and strategies for this traditional Japanese sport.
87;Surfing;Featuring the beauty and skill of surfing, with a focus on different types of waves, techniques for riding, and safety considerations for this water sport.
88;Swing;Showing the joy and freedom of swinging, with a focus on different types of swings, techniques for gaining height, and safety considerations for playground equipment.
89;TableTennisShot;Demonstrating the speed and precision of table tennis shots, with a focus on different types of spins, serves, and techniques for competitive play.
90;TaiChi;Highlighting the relaxation and health benefits of Tai Chi, with a focus on different types of movements, breathing techniques, and meditation for promoting balance and harmony.
91;TennisSwing;Showing the technique and precision of a tennis swing, with a focus on different types of shots, strategies for playing different opponents, and styles of play.
92;ThrowDiscus;Highlighting the strength and technique required for discus throwing, with a focus on the wind-up, release, and trajectory of the discus for maximum distance.
93;TrampolineJumping;Demonstrating the fun and fitness benefits of trampoline jumping, with a focus on different types of jumps, tricks, and safety considerations for this activity.
94;Typing;Highlighting the importance and efficiency of typing, with a focus on different types of keyboards, techniques for typing, and training exercises for improving typing speed and accuracy.
95;UnevenBars;Displaying the grace and athleticism required for uneven bars gymnastics, with a focus on different types of swings, releases, and transitional elements on this challenging apparatus.
96;VolleyballSpiking;Demonstrating the power and precision of volleyball spiking, with a focus on different types of shots, techniques for jumping, and strategies for scoring.
97;WalkingWithDog;Showing the joy and benefits of walking with a dog, with a focus on different types of dogs, techniques for walking, and safety considerations for both the dog and the owner.
98;WallPushups;Demonstrating the versatility and convenience of wall push-ups as a full body workout, with a focus on proper form, variations, and benefits for building upper body strength and stability.
99;WritingOnBoard;Highlighting the communication and teaching benefits of writing on a board, with a focus on different types of boards, techniques for writing, and training exercises for improving handwriting and presentation skills.
100;YoYo;Featuring the creativity and fun of YoYo, with a focus on different types of tricks, techniques for string control, and styles of play for this classic toy.
